team,games_played,wins,losses,win_percentage,points,field_goals_made,field_goals_attempted,field_goal_percentage,three_pointers_made,three_pointers_attempted,three_point_percentage,free_throws_made,free_throw_attempted,free_throw_percentage,offensive_rebounds,defensive_rebounds,rebounds,assists,turnovers,steals,blocks,blocks_attempted,season,season_start
Milwaukee Bucks,82,58,24,0.707,9589,3504,7411,47.3,1217,3306,36.8,1364,1837,74.3,914,3074,3988,2115,1199,521,403,323,2022-23,2022
Boston Celtics,82,57,25,0.695,9671,3460,7278,47.5,1315,3492,37.7,1436,1769,81.2,796,2921,3717,2186,1095,521,430,318,2022-23,2022
Philadelphia 76ers,82,54,28,0.659,9448,3347,6870,48.7,1035,2675,38.7,1719,2058,83.5,715,2641,3356,2063,1121,635,389,380,2022-23,2022
Denver Nuggets,82,53,29,0.646,9495,3574,7088,50.4,969,2559,37.9,1378,1834,75.1,828,2699,3527,2368,1192,618,368,344,2022-23,2022
Cleveland Cavaliers,82,51,31,0.622,9205,3408,6984,48.8,950,2589,36.7,1439,1844,78.0,795,2574,3369,2045,1094,586,384,360,2022-23,2022
Memphis Grizzlies,82,51,31,0.622,9587,3585,7551,47.5,985,2807,35.1,1432,1954,73.3,988,2835,3823,2135,1116,680,473,427,2022-23,2022
Sacramento Kings,82,48,34,0.585,9898,3573,7232,49.4,1128,3060,36.9,1624,2055,79.0,782,2699,3481,2237,1106,574,275,341,2022-23,2022
New York Knicks,82,47,35,0.573,9514,3444,7328,47.0,1037,2930,35.4,1589,2087,76.1,1031,2790,3821,1880,1065,527,340,370,2022-23,2022
Brooklyn Nets,82,45,37,0.549,9295,3399,6978,48.7,1048,2771,37.8,1449,1811,80.0,674,2648,3322,2093,1127,585,506,317,2022-23,2022
Phoenix Suns,82,45,37,0.549,9319,3453,7388,46.7,1001,2674,37.4,1412,1781,79.3,971,2657,3628,2235,1110,585,432,327,2022-23,2022
Golden State Warriors,82,44,38,0.537,9753,3538,7393,47.9,1363,3540,38.5,1314,1655,79.4,864,2793,3657,2446,1336,588,324,326,2022-23,2022
LA Clippers,82,44,38,0.537,9314,3370,7060,47.7,1041,2734,38.1,1533,1962,78.1,803,2742,3545,1959,1167,580,364,344,2022-23,2022
Miami Heat,82,44,38,0.537,8977,3215,6991,46.0,980,2852,34.4,1567,1885,83.1,796,2533,3329,1955,1106,655,243,309,2022-23,2022
Los Angeles Lakers,82,43,39,0.524,9608,3516,7298,48.2,885,2558,34.6,1691,2182,77.5,818,2930,3748,2072,1154,526,378,416,2022-23,2022
Minnesota Timberwolves,82,42,40,0.512,9494,3515,7167,49.0,997,2731,36.5,1467,1942,75.5,749,2686,3435,2145,1258,657,444,336,2022-23,2022
New Orleans Pelicans,82,42,40,0.512,9378,3447,7180,48.0,899,2468,36.4,1585,2000,79.3,866,2717,3583,2122,1196,681,337,386,2022-23,2022
Atlanta Hawks,82,41,41,0.5,9711,3658,7574,48.3,882,2505,35.2,1513,1850,81.8,920,2719,3639,2049,1060,580,401,414,2022-23,2022
Toronto Raptors,82,41,41,0.5,9254,3434,7489,45.9,880,2626,33.5,1506,1922,78.4,1043,2485,3528,1961,956,772,424,376,2022-23,2022
Chicago Bulls,82,40,42,0.488,9276,3488,7116,49.0,854,2367,36.1,1446,1788,80.9,694,2779,3473,2006,1097,644,371,389,2022-23,2022
Oklahoma City Thunder,82,40,42,0.488,9633,3533,7590,46.5,995,2797,35.6,1572,1944,80.9,934,2646,3580,2002,1070,676,341,454,2022-23,2022
